,capacity_mw
2002-01-01 00:00:00+00:00,192.0
2002-02-01 00:00:00+00:00,194.0
2002-03-01 00:00:00+00:00,197.0
2002-04-01 00:00:00+00:00,203.0
2002-05-01 00:00:00+00:00,208.0
2002-06-01 00:00:00+00:00,214.0
2002-07-01 00:00:00+00:00,220.0
2002-08-01 00:00:00+00:00,226.0
2002-09-01 00:00:00+00:00,234.0
2002-10-01 00:00:00+00:00,242.0
2002-11-01 00:00:00+00:00,254.0
2002-12-01 00:00:00+00:00,290.0
2003-01-01 00:00:00+00:00,303.0
2003-02-01 00:00:00+00:00,305.0
2003-03-01 00:00:00+00:00,310.0
2003-04-01 00:00:00+00:00,320.0
2003-05-01 00:00:00+00:00,331.0
2003-06-01 00:00:00+00:00,342.0
2003-07-01 00:00:00+00:00,360.0
2003-08-01 00:00:00+00:00,375.0
2003-09-01 00:00:00+00:00,391.0
2003-10-01 00:00:00+00:00,408.0
2003-11-01 00:00:00+00:00,422.0
2003-12-01 00:00:00+00:00,434.0
2004-01-01 00:00:00+00:00,484.0
2004-02-01 00:00:00+00:00,499.0
2004-03-01 00:00:00+00:00,531.0
2004-04-01 00:00:00+00:00,574.0
2004-05-01 00:00:00+00:00,617.0
2004-06-01 00:00:00+00:00,674.0
2004-07-01 00:00:00+00:00,734.0
2004-08-01 00:00:00+00:00,783.0
2004-09-01 00:00:00+00:00,838.0
2004-10-01 00:00:00+00:00,899.0
2004-11-01 00:00:00+00:00,958.0
2004-12-01 00:00:00+00:00,1085.0
2005-01-01 00:00:00+00:00,1112.0
2005-02-01 00:00:00+00:00,1128.0
2005-03-01 00:00:00+00:00,1173.0
2005-04-01 00:00:00+00:00,1252.0
2005-05-01 00:00:00+00:00,1322.0
2005-06-01 00:00:00+00:00,1415.0
2005-07-01 00:00:00+00:00,1490.0
2005-08-01 00:00:00+00:00,1569.0
2005-09-01 00:00:00+00:00,1650.0
2005-10-01 00:00:00+00:00,1722.0
2005-11-01 00:00:00+00:00,1804.0
2005-12-01 00:00:00+00:00,2007.0000000000002
2006-01-01 00:00:00+00:00,2031.0000000000002
2006-02-01 00:00:00+00:00,2056.0
2006-03-01 00:00:00+00:00,2105.0
2006-04-01 00:00:00+00:00,2168.0
2006-05-01 00:00:00+00:00,2242.0
2006-06-01 00:00:00+00:00,2316.0
2006-07-01 00:00:00+00:00,2387.0
2006-08-01 00:00:00+00:00,2452.0
2006-09-01 00:00:00+00:00,2511.0
2006-10-01 00:00:00+00:00,2576.0
2006-11-01 00:00:00+00:00,2651.0
2006-12-01 00:00:00+00:00,2851.0
2007-01-01 00:00:00+00:00,2873.0
2007-02-01 00:00:00+00:00,2888.0
2007-03-01 00:00:00+00:00,2928.0
2007-04-01 00:00:00+00:00,2988.0
2007-05-01 00:00:00+00:00,3059.0
2007-06-01 00:00:00+00:00,3147.0
2007-07-01 00:00:00+00:00,3262.0
2007-08-01 00:00:00+00:00,3381.0
2007-09-01 00:00:00+00:00,3480.0
2007-10-01 00:00:00+00:00,3595.0
2007-11-01 00:00:00+00:00,3734.0
2007-12-01 00:00:00+00:00,4101.0
2008-01-01 00:00:00+00:00,4137.0
2008-02-01 00:00:00+00:00,4184.0
2008-03-01 00:00:00+00:00,4253.0
2008-04-01 00:00:00+00:00,4362.0
2008-05-01 00:00:00+00:00,4464.0
2008-06-01 00:00:00+00:00,4599.0
2008-07-01 00:00:00+00:00,4739.0
2008-08-01 00:00:00+00:00,4875.0
2008-09-01 00:00:00+00:00,5051.0
2008-10-01 00:00:00+00:00,5250.0
2008-11-01 00:00:00+00:00,5490.0
2008-12-01 00:00:00+00:00,6075.0
2009-01-01 00:00:00+00:00,6093.0
2009-02-01 00:00:00+00:00,6114.0
2009-03-01 00:00:00+00:00,6195.0
2009-04-01 00:00:00+00:00,6333.0
2009-05-01 00:00:00+00:00,6511.0
2009-06-01 00:00:00+00:00,6737.0
2009-07-01 00:00:00+00:00,7046.0
2009-08-01 00:00:00+00:00,7362.0
2009-09-01 00:00:00+00:00,7742.0
2009-10-01 00:00:00+00:00,8129.0
2009-11-01 00:00:00+00:00,8689.0
2009-12-01 00:00:00+00:00,10509.0
2010-01-01 00:00:00+00:00,10526.0
2010-02-01 00:00:00+00:00,10582.0
2010-03-01 00:00:00+00:00,10925.0
2010-04-01 00:00:00+00:00,11452.0
2010-05-01 00:00:00+00:00,12110.0
2010-06-01 00:00:00+00:00,15275.0
2010-07-01 00:00:00+00:00,15338.0
2010-08-01 00:00:00+00:00,15475.0
2010-09-01 00:00:00+00:00,16290.0
2010-10-01 00:00:00+00:00,16388.0
2010-11-01 00:00:00+00:00,16668.0
2010-12-01 00:00:00+00:00,18078.0
2011-01-01 00:00:00+00:00,18100.0
2011-02-01 00:00:00+00:00,18133.0
2011-03-01 00:00:00+00:00,18241.0
2011-04-01 00:00:00+00:00,18419.0
2011-05-01 00:00:00+00:00,18794.0
2011-06-01 00:00:00+00:00,19555.0
2011-07-01 00:00:00+00:00,20155.0
2011-08-01 00:00:00+00:00,20764.0
2011-09-01 00:00:00+00:00,21215.0
2011-10-01 00:00:00+00:00,21673.0
2011-11-01 00:00:00+00:00,22441.0
2011-12-01 00:00:00+00:00,26047.0
2012-01-01 00:00:00+00:00,26079.0
2012-02-01 00:00:00+00:00,26138.0
2012-03-01 00:00:00+00:00,27796.0
2012-04-01 00:00:00+00:00,27891.0
2012-05-01 00:00:00+00:00,28042.0
2012-06-01 00:00:00+00:00,30287.0
2012-07-01 00:00:00+00:00,30425.0
2012-08-01 00:00:00+00:00,30685.0
2012-09-01 00:00:00+00:00,31798.0
2012-10-01 00:00:00+00:00,32279.000000000004
2012-11-01 00:00:00+00:00,32656.999999999996
2012-12-01 00:00:00+00:00,32900.0
2013-01-01 00:00:00+00:00,33155.0
2013-02-01 00:00:00+00:00,33342.0
2013-03-01 00:00:00+00:00,33635.0
2013-04-01 00:00:00+00:00,34021.0
2013-05-01 00:00:00+00:00,34348.0
2013-06-01 00:00:00+00:00,34662.0
2013-07-01 00:00:00+00:00,34967.0
2013-08-01 00:00:00+00:00,35244.0
2013-09-01 00:00:00+00:00,35489.0
2013-10-01 00:00:00+00:00,35714.0
